x,y
301,534
719,60
20,272
628,200
551,95
206,194
813,266
205,351
576,94
736,438
70,220
727,24
349,403
74,305
844,2
633,451
72,349
555,382
515,501
814,4
102,144
862,253
306,173
453,499
126,542
90,430
66,15
478,397
238,334
894,58
884,116
778,43
9,395
99,63
81,533
557,300
371,359
514,141
386,489
625,115
171,229
269,554
129,542
439,38
711,369
543,407
194,113
410,51
760,414
755,453
408,440
348,408
414,522
556,305
725,15
69,268
82,285
414,582
651,415
133,419
219,442
546,391
788,314
147,75
144,9
716,215
853,220
780,194
502,318
738,241
382,68
676,491
770,93
497,480
26,154
40,93
623,482
812,452
163,171
224,183
57,379
330,36
553,462
82,248
353,314
821,114
518,101
89,327
107,583
536,365
299,314
887,523
414,33
481,471
361,463
679,321
19,247
440,253
372,533
543,401
